img,lines,url,price
https://img.drz.lazcdn.com/static/pk/p/c88c7ec5483f4e76bced0b1fb3670fb6.jpg_400x400q75.avif,"Meat Grinder Chopper Machine 3L with Stainless Steel Sharp Blades 1000W Motor-Food Processor Quad Blades Chopper with Double Speed -Multipurpose Smart Kitchen Appliance For Vegetable ,Meat Processing, Nuts, Onion, Garlic-Home Fast Electric Hand Blender",https://www.daraz.pk/products/3l-1000-i503630454.html,"Rs. 3,400"
https://img.drz.lazcdn.com/static/pk/p/49bd2b6a05b6f9c1e1b30a654aafab52.jpg_400x400q75.avif,"Automatic Electric Water Pump – Wireless USB Rechargeable Bottle Pump for 5 Gallon Drinking Bottles – Smart, Pressure-Charging Water Treatment Appliance for Home and Office",https://www.daraz.pk/products/usb-5-i924373732.html,"Rs. 1,399"
https://img.drz.lazcdn.com/g/kf/S88ef555b125f4e1eaf02dc49a2b8b0a4N.jpg_400x400q75.avif,smart kitchen appliances,https://www.daraz.pk/products/-i495620308.html,Rs. 450
https://img.drz.lazcdn.com/static/pk/p/efd89055f82a0a29c75c51ae9499555b.png_400x400q75.avif,"Philips Style Airfryer 5.5L 10L 12L 12.5L XXL Jumbo Digital Touch Panel - Oil-Free Healthy Multi-Cooker, Professional Fryer, Bake, Roast, Grill & Reheat, Premium Energy Efficient Design, 1 Year Warranty, Large Capacity Smart Kitchen Appliance, Imported",https://www.daraz.pk/products/55l-10l-12l-125l-xxl-1-i922249363.html,"Rs. 15,999"
https://img.drz.lazcdn.com/static/pk/p/ea6ec027564ee557d4b0dcff472a7cbb.jpg_400x400q75.avif,Air Fryer – Silver Crest 12L Air Fryer – Large Capacity Smart Air Fryer – 2800W Air Fryer with Rapid Air Technology | Oil-Free Cooking– Full Digital Panel Imported – Family Size Fryer – Oil Free Fryer – Kitchen Appliances,https://www.daraz.pk/products/air-fryer-silver-crest-12l-air-fryer-large-capacity-smart-air-fryer-2800w-air-fryer-with-rapid-air-technology-oil-free-cooking-full-digital-panel-imported-family-size-fryer-oil-free-fryer-kitchen-appliances-i1952078862.html,"Rs. 14,999"
https://img.drz.lazcdn.com/static/pk/p/190ef424ddb679a6f580d46da4139a7e.jpg_400x400q75.avif,2L Electric Kettle Stainless Steel Kitchen Appliances Smart Kettle 1500W Whistle Kettle Samovar Tea Coffee Thermo Pot Gift,https://www.daraz.pk/products/2l-electric-kettle-stainless-steel-kitchen-appliances-smart-kettle-1500w-whistle-kettle-samovar-tea-coffee-thermo-pot-gift-i1951439230.html,"Rs. 1,278"
https://img.drz.lazcdn.com/static/pk/p/371dfa9f4d95b081b626f65675e99ee7.png_400x400q75.avif,"Imported Telionix Digital Pressure Cooker 6 Litre 1000 Watt Electric Cooker – 6L Smart Rice Cooker Multi Cooker with 20 Programs, Granite Non Stick Pot, 24 Hour Timer Cooker, Automatic Steam Release, Touch Panel, Family Size Kitchen Home Appliance",https://www.daraz.pk/products/6-1000-6l-20-24-i1958338089.html,"Rs. 29,999"
https://img.drz.lazcdn.com/static/pk/p/c360f4acf334cb049b5b14bbe213ad16.jpg_400x400q75.avif,"Automatic Electric Water Pump Dispenser - Rechargeable USB Charging Smart Water Bottle Pump - Portable Universal Gallon Dispenser for Home, Office & Outdoor",https://www.daraz.pk/products/usb-i1951451237.html,Rs. 620
https://img.drz.lazcdn.com/static/pk/p/89709e79b5e0044d09a4ec5985ff6ac1.jpg_400x400q75.avif,"Imported Digital Pressure Cooker 6 Litre 1000 Watt Electric Cooker – 6L Smart Rice Cooker Multi Cooker with 20 Programs, Granite Non Stick Pot, 24 Hour Timer Cooker, Automatic Steam Release, Touch Panel, Family Size Kitchen Home Appliance",https://www.daraz.pk/products/6-1000-6l-20-24-i590932327.html,"Rs. 29,999"
https://img.drz.lazcdn.com/static/pk/p/c02ba0431be5fddf379d9614c57d46b6.jpg_400x400q75.avif,"Megamart Online Shop |High-Quality 500W /800W Electric Meat Grinder Chopper 3L with Stainless Steel Blades - Multipurpose Smart Kitchen Appliance for Vegetable, Fruit, and Meat Processing",https://www.daraz.pk/products/500-3l-i531599574.html,"Rs. 4,299"
https://img.drz.lazcdn.com/static/pk/p/5420443f412855e5c23259e527ef7a88.jpg_400x400q75.avif,Smart Electric Kettle Water Boiler Tea coffee warmer Stainless Steel body Portable Kitchen Appliances automatic 2 litre 1500W,https://www.daraz.pk/products/smart-electric-kettle-water-boiler-tea-coffee-warmer-stainless-steel-body-portable-kitchen-appliances-automatic-2-litre-1500w-i139874264.html,"Rs. 1,559"
