url,img,lines,author
https://www.passiton.com/inspirational-quotes/8367-the-more-grateful-i-am-the-more-beauty-i-see,https://cdn.passiton.com/quotes/images/8367/large_20260416_thursday_quote.jpg,"The more grateful I am, the more beauty I see. #<Author:0x00007f7432f86558>",
https://www.passiton.com/inspirational-quotes/7841-feeling-gratitude-and-not-expressing-it-is-like,https://cdn.passiton.com/quotes/images/7841/large_20260415_wednesday_quote.jpg,Feeling gratitude and not expressing it is like wrapping a present and not giving it. #<Author:0x00007f7432f86058>,
https://www.passiton.com/inspirational-quotes/6543-take-as-a-gift-whatever-the-day-brings-forth,https://cdn.passiton.com/quotes/images/6543/large_20260414_tuesday_quote.jpg,Take as a gift whatever the day brings forth. #<Author:0x00007f7432f858d8>,
https://www.passiton.com/inspirational-quotes/3105-gratitude-unlocks-the-fullness-of-life-it,https://cdn.passiton.com/quotes/images/3105/large_20260413_monday_quote.jpg,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. #<Author:0x00007f7432f853d8>",
https://www.passiton.com/inspirational-quotes/7573-family-is-not-an-important-thing-its-everything,https://cdn.passiton.com/quotes/images/7573/large_20260410_friday_quote.jpg,Family is not an important thing. It's everything. #<Author:0x00007f743339fdd8>,
https://www.passiton.com/inspirational-quotes/7575-we-must-take-care-of-our-families-wherever-we,https://cdn.passiton.com/quotes/images/7575/large_20260409_thursday_quote.jpg,We must take care of our families wherever we find them. #<Author:0x00007f743339f8d8>,
https://www.passiton.com/inspirational-quotes/7852-family-and-friends-are-hidden-treasures-seek,https://cdn.passiton.com/quotes/images/7852/large_20260408_wednesday_quote.jpg,"Family and friends are hidden treasures, seek them and enjoy their riches. #<Author:0x00007f743339f3d8>",
https://www.passiton.com/inspirational-quotes/7744-other-things-may-change-us-but-we-start-and,https://cdn.passiton.com/quotes/images/7744/large_20260407_tuesday_quote.jpg,"Other things may change us, but we start and end with the family.  #<Author:0x00007f743339eed8>",
https://www.passiton.com/inspirational-quotes/7184-in-every-conceivable-manner-the-family-is-a,https://cdn.passiton.com/quotes/images/7184/large_20260406_monday_quote.jpg,"In every conceivable manner, the family is a link to our past, bridge to our future.
 #<Author:0x00007f743339e9d8>",
https://www.passiton.com/inspirational-quotes/4227-inspire-and-bring-joy-to-all-those-you-know,https://cdn.passiton.com/quotes/images/4227/large_20260403_friday_quote.jpg,Inspire and bring joy to all those you know. #<Author:0x00007f743339e398>,
