brokered_by,status,price,bed,city,state,zip_code,prev_sold_date
103378,for_sale,105000,3.0,Adjuntas,Puerto Rico,601,
34632,for_sale,65000,6.0,Mayaguez,Puerto Rico,680,
1205,for_sale,50000,3.0,Ciales,Puerto Rico,639,
50739,for_sale,71600,3.0,Ponce,Puerto Rico,731,
81909,for_sale,100000,2.0,Ponce,Puerto Rico,730,
65672,for_sale,300000,5.0,Las Marias,Puerto Rico,670,
52707,for_sale,89000,3.0,Isabela,Puerto Rico,662,
52707,for_sale,150000,3.0,Juana Diaz,Puerto Rico,795,
46019,for_sale,155000,3.0,Lares,Puerto Rico,669,
52707,for_sale,79000,5.0,Utuado,Puerto Rico,641,
88441,for_sale,649000,5.0,Ponce,Puerto Rico,731,
50739,for_sale,120000,3.0,Yauco,Puerto Rico,698,
51202,for_sale,235000,4.0,Mayaguez,Puerto Rico,680,
12876,for_sale,105000,3.0,Ponce,Puerto Rico,728,
109906,for_sale,575000,3.0,San Sebastian,Puerto Rico,685,
46019,for_sale,140000,6.0,Anasco,Puerto Rico,610,
52707,for_sale,50000,2.0,Yauco,Puerto Rico,698,
52707,for_sale,165000,6.0,Moca,Puerto Rico,676,
81909,for_sale,189000,3.0,Coamo,Puerto Rico,769,
52707,for_sale,115000,3.0,Ponce,Puerto Rico,716,
12434,for_sale,122500,3.0,Yauco,Puerto Rico,698,
52464,for_sale,255000,3.0,San Sebastian,Puerto Rico,685,
81495,for_sale,425000,4.0,Ponce,Puerto Rico,730,
87549,for_sale,93000,4.0,Guayanilla,Puerto Rico,656,
92147,for_sale,75000,4.0,Manati,Puerto Rico,676,
29915,for_sale,469000,3.0,Isabela,Puerto Rico,662,
52707,for_sale,189000,6.0,Villalba,Puerto Rico,766,
52707,for_sale,225000,5.0,Ponce,Puerto Rico,717,
67133,for_sale,495000,4.0,Santa Isabel,Puerto Rico,757,
86036,for_sale,220000,1.0,Ponce,Puerto Rico,730,
52707,for_sale,70500,3.0,Yauco,Puerto Rico,698,
