address,city,country,longitude,name,province_nameChanged
324 Main St,Massena,US,-74.89021,McDonald's,NY
139 Columbus Rd,Athens,US,-82.09728,OMG! Rotisserie,OH
590 S Main St,Englewood,US,-84.29358,Domino's Pizza,OH
401 N Jennings St,Saluda,US,-81.7704,McDonald's,SC
205 W Church St,Batesburg,US,-81.5333,Wendy's,SC
2711 W. Kings Highway Ste. 18,Paragould,US,-90.52325,Pizza Hut,AR
613 W Center St,Sheridan,US,-92.40784,SONIC Drive In,AR
512 Highway 425 S Lot B,Monticello,US,-91.80232,Domino's Pizza,AR
1535 NW 50th St,Oklahoma City,US,-97.5382,McDonald's,OK
125 Towne Center Dr,Lexington,US,-84.53043,Domino's Pizza,KY
66 14th St.,Tell City,US,-86.762115,Long John Silver's,IN
301 University Blvd,Louisville,US,-85.764824,McDonald's,KY
5812 NW Expressway,Oklahoma City,US,-97.61717,McDonald's,OK
101 Thomas Garst Ln,Leland,US,-77.99544,Taco Bell,NC
1111 New Pointe Blvd,Leland,US,-78.02454,McDonald's,NC
782 Old Hickory Blvd Ste 120,Brentwood,US,-86.77995,Qdoba Mexican Grill,TN
108 Village Rd NE,Leland,US,-78.000649,McDonald's,NC
1116 Old Highway 60,Hardinsburg,US,-86.492762,McDonald's,KY
1423 Southwest Pkwy,Wichita Falls,US,-98.50065,McDonald's,TX
908 Padre Blvd,South Padre Island,US,-97.1643,McDonald's,TX
1131n N Main St,Miami,US,-94.87766,McDonald's,OK
3401 Hwy 165 North,Pineville,US,-92.41343,Pizza Hut,LA
1631 E Madison Ave,Bastrop,US,-91.89477,Sonic Drive-In,LA
301 S Lynn Riggs Blvd,Claremore,US,-95.61759,Domino's Pizza,OK
601 E Lincolnway,Minerva,US,-81.09812,McDonald's,OH
3211 S 4th St,Leavenworth,US,-94.90441,SONIC Drive In,KS
105 Business Loop W,Jamestown,US,-98.707788,Taco Bell,ND
1531 University Dr S,Fargo,US,-96.79863,Domino's Pizza,ND
718 10th St SE,Jamestown,US,-98.6984,Taco John's,ND
1400 24th Ave SW,Minot,US,-101.3128,McDonald's,ND
703 S Magnolia St,Woodville,US,-94.41477,Whataburger,TX
1535 S Broadway,Minot,US,-101.296022,Pizza Hut,ND
775 S Main St,Smithfield,US,-111.83318,Domino's Pizza,UT
218 W Main St,Ada,US,-96.68126,Hamburger King,OK
3208 S Elm Pl,Broken Arrow,US,-95.79756,SONIC Drive In,OK
3056 Classen Blvd Unit A,Norman,US,-97.41709,Domino's Pizza,OK
982 Macon St,Warner Robins,US,-83.58338,Burger King,GA
6060 San Mateo Blvd NE,Albuquerque,US,-106.585927,Burger King,NM
8401 Gateway Blvd W Ste M4,El Paso,US,-106.38071,McDonalds,TX
450 N Harrison Ave,Shawnee,US,-96.91222,SONIC Drive In,OK
9455 SW Barbur Blvd,Portland,US,-122.713696,Taco Time,OR
351 River Hill Dr,Ashland,US,-82.658096,McDonald's,KY
18000 Bagley Rd,Cleveland,US,-81.826072,Burger King,OH
3700 N 1st Ave,Evansville,US,-87.57549,McDonald's,IN
895 N Highway 77 Ste 300,Waxahachie,US,-96.84213,Jimmy John's,TX
819 SW 19th St,Oklahoma City,US,-97.50536,Domino's Pizza,OK
"95-1249 Meheula Parkway,",Mililani,US,-158.01738,Jersey Mike's Subs,HI
1625 Veterans Pkwy,Jeffersonville,US,-85.74938,Popeyes Louisiana Kitchen,IN
2730 S Hurstbourne Pkwy Suite 100,Louisville,US,-85.59548,Qdoba Mexican Grill,KY
5680 Commercial St SE Ste 100,Salem,US,-123.02243,Domino's Pizza,OR
2870 W Loop 1604 S,San Antonio,US,-98.70619,Whataburger,TX
1321 Herr Ln Ste 150,Louisville,US,-85.61074,Qdoba Mexican Grill,KY
100 Northside Dr,Bennington,US,-73.20316,Taco Bell,VT
6611 S Mo Pac Expy Ste B,Austin,US,-97.83528,Whataburger,TX
9300 S Interstate 35 Bldg H,Austin,US,-97.78887,Whataburger,TX
315 N Stephenson Ave,Iron Mountain,US,-88.063121,Hardee's,MI
2439 Springs Rd NE,Hickory,US,-81.28572,McDonald's,NC
9651 Natural Bridge Rd,Saint Louis,US,-90.34394,Rally's,MO
1665 Dove Park Rd Ste 300,Mandeville,US,-90.04186,Quiznos,LA
225 Grant Ave,Auburn,US,-76.54722,Burger King,NY
5400 FM 1640 Rd Ste 500,Richmond,US,-95.76008,Whataburger,TX
2448 University Ave,Green Bay,US,-87.96051,Domino's Pizza,WI
111 Commons Dr,Maumelle,US,-92.40624,SONIC Drive In,AR
344 S Service Rd E,Sullivan,US,-91.15696,Taco Bell,MO
6490 Memphis Arlington Rd Ste 103,Memphis,US,-89.84786,Domino's Pizza,TN
2124 S 1st St,Yakima,US,-120.48825,Taco Bell,WA
482 Branson Landing Blvd Ste 105,Branson,US,-93.22026,Jimmy John's,MO
406 S Thompson St,Springdale,US,-94.138658,Taco Bell,AR
5094 Murfreesboro Rd Ste 1,La Vergne,US,-86.5812,Domino's Pizza,TN
801 S Vaughn Dr,Brusly,US,-91.25265,McDonald's,LA
5100 NC Highway 87 S Ste 102,Fayetteville,US,-78.85668,Domino's Pizza,NC
Co-Op City,Bronx,US,-73.8248,Burger King,NY
3898 Cleveland Hwy,Dalton,US,-84.94654,McDonalds,GA
1865 Blankenship Rd,West Linn,US,-122.653281,Jack in the Box,OR
825 W 1100 S,Brigham City,US,-112.02944,Sonic Drive-In,UT
955 S Main St,Brigham City,US,-112.01555,Taco Bell,UT
875 W 1150 S,Brigham City,US,-112.02934,Subway,UT
524 Indian Boundary Rd,Chesterton,US,-87.0439,Jimmy John's,IN
801 University St,Martin,US,-88.87344,McDonald's,TN
2505 State Rd,La Crosse,US,-91.21769,Hardee's,WI
1610 Sycamore View Rd,Memphis,US,-89.86479,McDonald's,TN
2437 George St,La Crosse,US,-91.23993,McDonald's,WI
813 N Central Ave,Marshfield,US,-90.168369,Taco John's,WI
1101 N Central Ave,Marshfield,US,-90.16521,McDonald's,WI
4601 Northfield Rd,Cleveland,US,-81.523935,Mr Hero,OH
1601 W Lincoln Ave,Yakima,US,-120.53093,McDonald's,WA
5706 W 7800 S,West Jordan,US,-112.0266,McDonald's,UT
1014 Highway 82 E,Indianola,US,-90.63563,Taco Bell,MS
640 Huebner Rd,Fort Riley,US,-96.79881,Domino's Pizza,KS
1418 W Sunset Blvd,Saint George,US,-113.613499,Taco Bell,UT
610 E Saint George Blvd,Saint George,US,-113.570286,Taco Bell,UT
4651 W 6th St,Lawrence,US,-95.301449,Pizza Hut,KS
5540 Old Cheney Rd,Lincoln,US,-96.64543,Amigos/Kings Classic,NE
7501 W 135th St,Overland Park,US,-94.672,Raising Cane's Chicken Fingers,KS
4204 Milan Rd,Sandusky,US,-82.67352,McDonalds,OH
6300 Gulf Fwy,La Marque,US,-94.97416,Whataburger,TX
1302 Highway 35 N,Rockport,US,-97.04238,McDonald's,TX
3515 Springdale Rd,Cincinnati,US,-84.59411,Domino's Pizza,OH
7720 Laurel Ave,Cincinnati,US,-84.36207,Domino's Pizza,OH
123 Creekside Xing,New Braunfels,US,-98.07612,Whataburger,TX
793 Roosevelt Trl,Windham,US,-70.44217,Burger King,ME
14700 E Indiana Ave,Spokane,US,-117.206394,Taco Time,WA
